Part_of_the_Day,Month,Date,Phase
AM,08,1,3.1
PM,08,1,3.1
AM,08,3,3.1
PM,08,3,3.1
AM,08,4,3.1
PM,08,4,3.1
AM,08,7,3.1
PM,08,7,3.1
AM,08,8,3.1
AM,08,9,3.1
PM,08,9,3.1
AM,08,10,3.1
PM,08,10,3.1
AM,08,11,3.1
PM,08,11,3.1
AM,08,13,3.1
PM,08,13,3.1
PM,08,14,3.1
AM,08,15,3.1
PM,08,15,3.1
AM,08,16,3.1
AM,08,17,3.1
PM,08,17,3.1
AM,08,18,3.1
PM,08,18,3.1
PM,08,19,3.1
PM,08,20,3.1
AM,08,21,3.1
AM,08,30,3.1
PM,08,30,3.1
PM,08,31,3.1
AM,07,1,2.2
AM,07,2,2.2
PM,07,2,2.2
AM,07,3,2.2
PM,07,3,2.2
AM,07,4,2.2
PM,07,4,2.2
PM,07,5,2.2
AM,07,6,3.1
PM,07,6,3.1
AM,07,7,3.1
PM,07,7,3.1
AM,07,8,3.1
PM,07,8,3.1
AM,07,9,3.1
AM,07,10,3.1
PM,07,11,3.1
AM,07,12,3.1
AM,07,13,3.1
PM,07,13,3.1
AM,07,14,3.1
PM,07,14,3.1
AM,07,15,3.1
PM,07,15,3.1
AM,07,16,3.1
PM,07,16,3.1
AM,07,17,3.1
PM,07,17,3.1
AM,07,18,3.1
PM,07,18,3.1
PM,07,19,3.1
AM,07,20,3.1
PM,07,20,3.1
AM,07,21,3.1
PM,07,21,3.1
AM,07,22,3.1
AM,07,23,3.1
PM,07,23,3.1
AM,07,24,3.1
PM,07,24,3.1
AM,07,25,3.1
PM,07,25,3.1
AM,07,26,3.1
PM,07,26,3.1
AM,07,27,3.1
PM,07,27,3.1
AM,07,28,3.1
PM,07,28,3.1
AM,07,29,3.1
PM,07,29,3.1
AM,07,30,3.1
PM,07,30,3.1
AM,07,31,3.1
PM,07,31,3.1
AM,06,7,1
PM,06,7,1
AM,06,8,2.1
PM,06,8,2.1
AM,06,9,2.1
PM,06,9,2.1
AM,06,10,2.1
PM,06,10,2.1
AM,06,12,2.1
PM,06,12,2.1
AM,06,13,2.1
PM,06,13,2.1
AM,06,15,2.1
PM,06,15,2.1
AM,06,16,2.1
PM,06,16,2.1
AM,06,17,2.1
PM,06,17,2.1
AM,06,18,2.1
PM,06,18,2.1
AM,06,19,2.1
PM,06,19,2.1
AM,06,20,2.1
AM,06,23,2.2
PM,06,23,2.2
AM,06,24,2.2
PM,06,24,2.2
AM,06,25,2.2
PM,06,25,2.2
AM,06,26,2.2
PM,06,26,2.2
AM,06,27,2.2
AM,06,28,2.2
PM,06,28,2.2
AM,06,29,2.2
PM,06,29,2.2
AM,06,30,2.2
PM,06,30,2.2
PM,09,3,3.1
