Langtitude,Longtitude,Name,Status,BSt,BB,BB_Or,BSt_Or
-71.1130561,42.3703858,Brattle Square Optical,Closed,0,0,R,L
-71.1133515,42.3705697,Cafe Sushi,Closed,0,0,R,L
-71.1135086,42.3707146,Zoe's,Closed,0,0,R,L
-71.1136757,42.3708557,Boston Burger Company,Closed,0,0,R,L
-71.1158867,42.3721293,Hokkaido Ramen Santouka Harvard Square,Closed,0,0,L,R
-71.1159671,42.3723864,Hong Kong,Closed,0,0,L,R
-71.116286,42.37255,Harvard Book Store,Closed,0,0,L,R
-71.1169414,42.3726822,Tatte Bakery & Cafe,Closed,0,0,L,R
-71.1173161,42.3727516,Zinnia Jewelry,Closed,0,0,L,R
-71.1175184,42.3728668,J.P. Licks,Closed,0,0,L,R
-71.1176261,42.3728555,Leavitt & Peirce Inc,Closed,0,0,L,R
-71.1177877,42.372888,Porcellian Club,Closed,0,0,L,R
-71.1178962,42.3729277,Clover Food Lab,Closed,0,0,L,R
-71.1195371,42.3735745,Milk Bar Harvard Square,Closed,0,0,L,R
-71.1196913,42.3737298,Harvard Coop,Closed,0,0,L,R
-71.1191529,42.374173,OTTO,Closed,0,0,L,R
-71.119084,42.3742019,C'est Bon Market & Liquors,Closed,0,0,L,R
-71.1191211,42.3742998,Pokeworks,Closed,0,0,L,R
-71.1192652,42.3742832,Mint Julep,Closed,0,0,L,R
-71.1202318,42.3742934,Border Cafe,Closed,0,0,L,R
-71.1206915,42.374186,Dado Tea,Closed,0,0,L,R
-71.1205932,42.3739749,The Sinclair,Closed,0,0,L,R
-71.1209906,42.3740292,Swiss Watchmaker,Closed,0,0,L,R
-71.1212945,42.3739402,WHOLESOME FRESH,Closed,0,0,L,R
-71.1210051,42.3735782,Crimson Corner,Closed,0,0,L,R
-71.1207469,42.3736503,Brattle Square Florist,Closed,0,0,L,R
-71.1207177,42.3735017,Bluestone Lane Harvard Square Café,Closed,0,0,L,R
-71.1204944,42.3734811,Felipe's Taqueria,Closed,0,0,L,R
-71.120451,42.373558,Rebekah Brooks Jewelry,Closed,0,0,L,R
-71.1202727,42.3735563,Gap,Closed,0,0,L,R
-71.1197726,42.3736032,Cardullo's Gourmet Shoppe,Closed,0,0,L,R
-71.119384,42.3732123,CVS,Closed,0,0,L,R
-71.119459,42.373158,Russell House Tavern,Closed,0,0,L,R
-71.1199179,42.3725934,Tasty Burger,Closed,0,0,L,R
-71.1197568,42.3725915,El Jefe's Taqueria,Closed,0,0,L,R
-71.1180289,42.37204,Insomnia Cookies,Closed,0,0,L,R
-71.116874,42.371489,Blue Bottle Coffee,Closed,0,0,L,R
-71.116477,42.3713279,Daedalus,Closed,0,0,L,R
-71.1145411,42.370818,Looks,Closed,0,0,R,L
-71.1139561,42.3706495,Karma Yoga Studio & Karma Gym,Closed,0,0,R,L
-71.113689,42.370425,Big Picture Framing-Harvard Square,Closed,0,0,R,L
-71.1130561,42.3703858,Brattle Square Optical,Closed,0,0,R,L
